,0,1,2,3
0,5,5,1.6278852880743184,0.7743475825801118
1,5,10,1.787580311104541,0.7560378844160609
2,5,15,1.7629509696012906,0.5646744852571645
3,5,20,0.5327259461043753,0.3580000291020299
4,5,25,1.4640068444862657,1.89694136846718
5,5,30,1.3751799440556511,1.2389575069620593
6,5,35,1.6442130042553902,1.126430967886611
7,5,40,1.6442130042553902,1.368320097158096
8,5,45,1.6442130042553902,0.9339699611265564
9,10,5,0.46311006757966816,1.342254969223879
10,10,10,0.5673259539581478,1.6967310586355733
11,10,15,0.5206770922115201,1.1312093595515305
12,10,20,0.5220036820755343,1.528481190417731
13,10,25,0.495254210594742,1.137179001034668
14,10,30,0.49263173438913,1.1032017377063448
15,10,35,0.49662347490365677,1.095409934193633
16,10,40,0.7206631944959152,1.2747686976087662
17,10,45,0.6684758277272467,1.1016579204140962
18,15,5,0.28942767403313796,1.6485444607215465
19,15,10,0.45007637881706214,1.203179842813247
20,15,15,0.5240112138137446,0.8585477032717209
21,15,20,0.5411257535665924,0.8495332920116262
22,15,25,0.5802641874333471,1.0763048802342436
23,15,30,0.6570216554765732,1.0602995693414934
24,15,35,0.5704613017009067,0.9577329495360573
25,15,40,0.5430680264955298,0.9070777463080281
26,15,45,0.5902472497614534,1.0003126796805772
27,20,5,0.48502275719534116,1.1106607160065791
28,20,10,0.45220752027470407,0.88661309971384
29,20,15,0.4971686012299496,0.8548848923998319
30,20,20,0.49368627211093874,0.8724348560924191
31,20,25,0.48503323837833473,0.9465852964698895
32,20,30,0.5184643317000172,0.6968029140993248
33,20,35,0.6459399521541259,0.7777650042101362
34,20,40,0.71971280891718,0.7404199330923308
35,20,45,0.5604782556117687,0.7992620802957064
36,25,5,0.3723163719813087,0.700812347983145
37,25,10,0.4073621528535373,0.9731879045025693
38,25,15,0.4617615172112197,0.6901962787488315
39,25,20,0.5068366956274808,0.8582737757449113
40,25,25,0.49181735120026726,0.6374371415388252
41,25,30,0.5271718724941248,0.8038036941103235
42,25,35,0.5357830231655134,0.8026382897833619
43,25,40,0.49803215620800795,0.6583503284007304
44,25,45,0.5070700316518475,0.6942957676718697
45,30,5,0.38289232195634065,0.9110088993229796
46,30,10,0.40714062302445564,0.4797682895315232
47,30,15,0.3915979476229538,0.8295855164295811
48,30,20,0.4300331434011437,0.5866113168370721
49,30,25,0.44971169217593704,0.7017988768842495
50,30,30,0.47034940245429774,0.6556546852689146
51,30,35,0.44615111236565025,0.7363733657124866
52,30,40,0.4613251128692591,0.7672698301951787
53,30,45,0.4300096663634679,0.5062681118862005
54,35,5,0.3013942389725874,0.8142898687602511
55,35,10,0.3182674063701581,0.7010268810561685
56,35,15,0.314936668369409,0.5715405069788891
57,35,20,0.30370097871454965,0.5107826484224745
58,35,25,0.33852160237979817,0.6387918311474724
59,35,30,0.35005219997070297,0.7159080113661563
60,35,35,0.3531828042903857,0.7899707262262936
61,35,40,0.33686100715930306,0.6804117737605484
62,35,45,0.3789739759516334,0.5855931671449645
63,40,5,0.2560634804089867,0.546766210967674
64,40,10,0.31363737513482687,0.7184678957554924
65,40,15,0.3022433933279426,0.7545312626150863
66,40,20,0.32236878947078135,0.6710402182072499
67,40,25,0.3446559943542428,0.4885517560984073
68,40,30,0.33751289349092795,0.5880326877815129
69,40,35,0.3440785640233637,0.7377018589600448
70,40,40,0.3693376532175007,0.6426298855647923
71,40,45,0.3548887603548602,0.5775973065851288
72,45,5,0.30343705028025664,0.5999983219358592
73,45,10,0.3159937552666404,0.5307193871418785
74,45,15,0.28938937644009893,0.6912886468522833
75,45,20,0.28423593586556156,0.70000504154985
76,45,25,0.33786511191560487,0.6524389903709573
77,45,30,0.30329112318879553,0.5883459547886727
78,45,35,0.32608250204849065,0.5883265444218102
79,45,40,0.31259833842522067,0.7548277645576031
80,45,45,0.3269346717208663,0.6864839072145789
